"Company name","ASX code","GICS industry group","price","high","low","change","volume"
"BOART LONGYEAR LIMITED","BLY","Capital Goods","0.0620","0.0620","0.0620","-0.0019","5000"
"BOD AUSTRALIA LIMITED","BDA","Retailing","0.1100","0.1100","0.1100","0.0000","4600"
"BOOM LOGISTICS LIMITED","BOL","Capital Goods","0.1100","0.1100","0.1100","0.0000","9250"
"BORA BORA RESOURCES LIMITED","BBR","Materials",,"","","",""
"BORAL LIMITED.","BLD","Materials","6.5650","6.5850","6.5600","0.0098","718517"
"BOSS RESOURCES LIMITED","BOE","Materials","0.0450","0.0460","0.0450","0.0021","100000"
"BOTANIX PHARMACEUTICALS LTD","BOT","Pharmaceuticals, Biotechnology & Life Sciences","0.0480","0.0480","0.0480","0.0010","144447"
"BOTSWANA METALS LIMITED","BML","Materials","0.0010","0.0010","0.0010","0.0000","1000000"
"BOUGAINVILLE COPPER LIMITED","BOC","Materials","0.3550","0.3550","0.3550","0.0157","702"
"BOUNTY OIL & GAS NL","BUY","Energy","0.0060","0.0060","0.0060","0.0000","75030"
"BOYUAN HOLDINGS LIMITED","BHL","Real Estate","0.2500","0.2500","0.2500","0.0000","29300"
"BP CAPITAL MARKETS PLC","BPB","Not Applic",,"","","",""
"BPH ENERGY LTD","BPH","Pharmaceuticals, Biotechnology & Life Sciences","0.0020","0.0020","0.0020","0.0000","470420"
"BPS TECHNOLOGY LIMITED","BPS","Software & Services","0.7800","0.7800","0.7800","0.0000","7361"
"BRAIN RESOURCE LIMITED","BRC","Health Care Equipment & Services","0.0700","0.0720","0.0700","0.0000","215000"
"BRAINCHIP HOLDINGS LTD","BRN","Software & Services","0.1700","0.1750","0.1700","0.0000","20157"
"BRAMBLES LIMITED","BXB","Commercial & Professional Services","9.3550","9.3600","9.3400","0.0047","680640"
"BRAVURA SOLUTIONS LIMITED.","BVS","Software & Services","1.6450","1.6450","1.6450","0.0000","9244"
"BREAKER RESOURCES NL","BRB","Materials","0.7200","0.7200","0.7100","-0.0050","12296"
"BREVILLE GROUP LIMITED","BRG","Retailing","10.7550","10.7900","10.7500","-0.0054","3971"
"BRICKWORKS LIMITED","BKW","Materials","13.2350","13.2400","13.2000","0.0251","12587"
"BRIERTY LIMITED","BYL","Capital Goods","0.0800","0.0800","0.0800","-0.0029","2800"
"BRIGHTON MINING GROUP LIMITED","BTN","Materials",,"","","",""
"BRISBANE BRONCOS LIMITED","BBL","Media","0.4400","0.4400","0.4400","-0.0098","3050"
"BRISCOE GROUP AUSTRALASIA LIMITED","BGP","Not Applic",,"","","",""
"BROAD INVESTMENTS LIMITED","BRO","Telecommunication Services",,"","","",""
"BROCKMAN MINING LIMITED","BCK","Materials","0.0180","0.0180","0.0180","0.0000","45000"
"BROKEN HILL PROSPECTING LIMITED","BPL","Materials","0.0310","0.0310","0.0310","-0.0010","735"
"BRONSON GROUP LIMITED","BGR","Diversified Financials",,"","","",""
"BROO LTD","BEE","Food, Beverage & Tobacco","0.2000","0.2000","0.1950","0.0000","21503"
"BROOKSIDE ENERGY LIMITED","BRK","Energy","0.0120","0.0120","0.0120","0.0000","152587"
"BRYAH RESOURCES LIMITED","BYH","Materials",,"","","",""
"BSA LIMITED","BSA","Commercial & Professional Services","0.3700","0.3700","0.3650","-0.0049","28447"
"BT INVESTMENT MANAGEMENT LIMITED","BTT","Diversified Financials","10.5800","10.5950","10.5300","0.0497","114170"
"BUBS AUSTRALIA LIMITED","BUB","Food, Beverage & Tobacco","0.6050","0.6050","0.6000","-0.0050","151571"
"BUDDY PLATFORM LTD","BUD","Software & Services","0.2000","0.2000","0.1950","0.0000","198826"
"BUDERIM GROUP LIMITED","BUG","Food, Beverage & Tobacco","0.2950","0.2950","0.2950","-0.0097","1214"
"BUILDINGIQ, INC","BIQ","Software & Services","0.0600","0.0600","0.0600","0.0055","6000"
"BULLETIN RESOURCES LIMITED","BNR","Materials","0.0360","0.0360","0.0360","-0.0010","36500"
"BULLETPROOF GROUP LIMITED","BPF","Software & Services","0.0750","0.0750","0.0750","-0.0010","32500"
"BURRABULLA CORPORATION LIMITED","BUA","Materials",,"","","",""
"BURU ENERGY LIMITED","BRU","Energy","0.2300","0.2300","0.2200","0.0000","335093"
"BUXTON RESOURCES LIMITED","BUX","Materials","0.1650","0.1650","0.1650","0.0000","5870"
"BUYMYPLACE.COM.AU LIMITED","BMP","Real Estate","0.2000","0.2200","0.2000","-0.0261","99779"
"BWP TRUST","BWP","Real Estate","2.9300","2.9400","2.9250","0.0050","80778"
"BWX LIMITED","BWX","Household & Personal Products","5.7100","5.7400","5.7100","-0.0097","31807"
"BYRON ENERGY LIMITED","BYE","Energy","0.0830","0.0830","0.0830","-0.0038","60000"
"BYTE POWER GROUP LIMITED","BPG","Retailing","0.0010","0.0010","0.0010","0.0000","3500000"
"CABCHARGE AUSTRALIA LIMITED","CAB","Commercial & Professional Services","2.0900","2.1100","2.0900","-0.0199","12034"
"CABRAL RESOURCES LIMITED","CBS","Materials",,"","","",""
"CADENCE CAPITAL LIMITED","CDM","Not Applic","1.3150","1.3250","1.3100","-0.0050","33976"
"CAENEUS MINERALS LTD","CAD","Materials","0.0020","0.0020","0.0020","0.0000","250000"
"CAISSE FRANCAISE DE FINANCEMENT LOCAL","DXA","Not Applic",,"","","",""
"CALIDUS RESOURCES LIMITED","CAI","Materials","0.0450","0.0450","0.0440","0.0021","2950019"
"CALTEX AUSTRALIA LIMITED","CTX","Energy","33.4100","33.4400","33.2200","-0.0100","52761"
"CANN GROUP LIMITED","CAN","Pharmaceuticals, Biotechnology & Life Sciences","1.1700","1.1800","1.1650","0.0101","63415"
